# Generated by PyFunceble (v4.3.1.dev) / https://pyfunceble.github.io
# Date of generation: 2026-07-09T22:10:05.753654+00:00

Registrar                      Percentage   Amount      
------------------------------ ------------ ------------
NameCheap, Inc.                28%          18          
URL Solutions Inc.             25%          16          
URL Solutions, Inc.            22%          14          
Gransy s.r.o.                  6%           4           
Name.com, Inc.                 6%           4           
Above.com Pty Ltd.             3%           2           
NETIM                          3%           2           
Namecheap                      3%           2           
Spaceship, Inc.                3%           2           
NameCheap, Inc.                28%          18          
URL Solutions Inc.             25%          16          
URL Solutions, Inc.            22%          14          
Gransy s.r.o.                  6%           4           
Name.com, Inc.                 6%           4           
Above.com Pty Ltd.             3%           2           
NETIM                          3%           2           
Namecheap                      3%           2           
Spaceship, Inc.                3%           2           
