# Generated by PyFunceble (v4.3.1.dev) / https://pyfunceble.github.io
# Date of generation: 2026-07-06T05:34:31.087284+00:00

Registrar                      Percentage   Amount      
------------------------------ ------------ ------------
NameCheap, Inc.                26%          16          
URL Solutions Inc.             23%          14          
URL Solutions, Inc.            23%          14          
Gransy s.r.o.                  6%           4           
Name.com, Inc.                 6%           4           
Above.com Pty Ltd.             3%           2           
Gandi SAS                      3%           2           
NETIM                          3%           2           
Namecheap                      3%           2           
Spaceship, Inc.                3%           2           
NameCheap, Inc.                26%          16          
URL Solutions Inc.             23%          14          
URL Solutions, Inc.            23%          14          
Gransy s.r.o.                  6%           4           
Name.com, Inc.                 6%           4           
Above.com Pty Ltd.             3%           2           
Gandi SAS                      3%           2           
NETIM                          3%           2           
Namecheap                      3%           2           
Spaceship, Inc.                3%           2           
